Question,Answer
Q1: What was found in the follow-up study conducted only on rats with genetic predisposition?,A1: The study showed no significant effect on cholesterol levels in the rats.
Q2: Did the increase in triglycerides indicate any negative effects of ghee consumption in the experimental animals?,"A2: No, because there were no increases in lipid peroxide levels or lipid peroxidation levels."
Q3: What conclusion did the authors draw from their analysis of available literature on ghee consumption?,A3: The authors concluded that moderate consumption of ghee does not support a conclusion of harmful effects in the general population.
Q1: What happens to the cream when milk is mixed with water and churned?,A1: The cream comes out on top.
"Q2: According to Ayurveda, what benefits does cow's milk provide for the body?","A2: Cow's milk rejuvenates, nourishes, and strengthens the body, promotes longevity, and soothes the mind."
Q3: How much conjugated linoleic acid is produced when ghee is made using the method of heating the cream until the milk solids precipitate out?,A3: This method produces almost twice as much conjugated linoleic acid compared to another method.
Q1: What is a good source of calcium for women to prevent osteoporosis?,"A1: Food, as supplements can interfere with nutrient assimilation."
Q2: Did research support the claim that milk is too fatty for cardiovascular health?,"A2: No, studies found no correlation between high fat intake from milk and low cholesterol levels or cardiovascular mortality."
Q3: Is it true that drinking cow's milk produces excess mucus in some individuals?,"A3: The existence of this claim is debatable, with some research supporting its occurrence (Pinnock and Arney 1993; Pinnock et al. 1990)."
Q1: What is considered a waste product (mala) in Ayurvedic analysis?,A1: Mucus.
Q2: Why does MAV traditionally advise against drinking milk cold?,"A2: Because it is too hard to digest, and because it aggravates Kapha."
Q3: How can the digestibility of milk be increased according to MAV?,"A3: By boiling the milk, and adding a pinch of ginger powder or fresh ginger while boiling."
Q1: What is the main cause of lactose intolerance?,A1: Insufficient production of the ß-galactosidase enzyme.
Q2: How do people with lactose intolerance typically react to drinking milk?,"A2: They experience symptoms such as gas, diarrhea, and bloating due to undigested milk sugar fermenting in the digestive tract."
Q3: What is an alternative solution for those with severe lactose intolerance?,"A3: Milk that has had the lactose predigested, or tablets of the lactase enzyme, are commercially available."
Q1: What happens to the ability to digest yogurt if it is heated before serving or frozen?,A1: The ability to digest yogurt is lost.
"Q2: How does yogurt affect appetite and strength, according to Ayurvedic principles?",A2: Yogurt increases appetite and strength.
Q3: Who should avoid consuming yogurt due to its potential to aggravate Pitta problems in the digestive system?,A3: Those with ulcers or other Pitta problems in the digestive system should avoid consuming yogurt.
Q1: How should yogurt be consumed to maximize its benefits?,"A1: Yogurt should always be sweetened or taken with other foods, rather than taken plain and alone."
Q2: What happens to the bacterial cultures in commercial yogurt if it is heated after fermentation?,"A2: If commercial yogurt has been heated after fermentation, the bacterial cultures are killed."
Q3: How does taking buttermilk affect its influence on the balance of the *doshas* according to Ayurveda?,"A3: According to Ayurveda, the most beneficial way to take yogurt is in a beverage called Ayurvedic buttermilk, which improves its influence on the *doshas*' balance."
Q1: What is a recommended diet for health benefits?,A1: A meatless or vegetarian diet.
Q2: Why do research studies show that a meatless diet has significant health benefits?,"A2: Meat contains carcinogens and other chemicals embedded in excess fat cells, which can interact with bile salts and bacterial flora to produce disease-causing free radicals."
Q3: What is the problem with even organically fed meat?,"A3: Even organic meat has high levels of lipids that become peroxidized during digestion, leading to the production of carcinogens and cancer promoters."
Q1: What is one way in which a vegetarian diet can be beneficial for digestion?,"A1: A vegetarian diet is lighter and easier to digest, particularly because it has fewer long-chain fatty acids that can be difficult for the body to metabolize."
"Q2: According to Dwyer's review (1988), what are some of the medical conditions that have been found to have a lower incidence in people who follow a vegetarian diet?","A2: Some of these conditions include diabetes mellitus mortality, coronary artery disease mortality, gallstones, hypertension, lung cancer, atonic constipation, and obesity."
Q3: What was found to be true for Seventh-Day Adventists males in relation to meat-eating and all forms of mortality measured?,A3: Meat-eating correlated with all forms of mortality measured among male Seventh-Day Adventists.
Q1: What has been observed in terms of heart disease incidence among vegetarians compared to non-vegetarians?,A1: Vegetarians have a significantly lower incidence of coronary and ischemic heart disease.
"Q2: According to research, what type of cancer is associated with higher risk for women who eat red meat daily?",A2: Women who eat red meat daily are at twice the risk of developing colon cancer compared to those who eat it less than once a month.
Q3: What has been recommended by the American Cancer Society to help reduce the risk of digestive-tract cancer?,A3: The American Cancer Society recommends reduced meat consumption as a way to help reduce the risk of digestive-tract cancer.
Q1: What was the percentage reduction in cancer mortality found among non-meat eaters compared to meat-eaters?,A1: A 40 percent reduction in cancer mortality was found among non-meat eaters.
